retreat            ,NoC ,%                 ,11
@                  ,@   ,retreat           ,10
@                  ,@   ,retreats          ,1
return             ,NoC ,%                 ,102
@                  ,@   ,return            ,87
@                  ,@   ,returns           ,15
return             ,Verb,%                 ,225
@                  ,@   ,return            ,78
@                  ,@   ,returned          ,103
@                  ,@   ,returning         ,33
@                  ,@   ,returns           ,12
rev                ,NoC ,%                 ,11
@                  ,@   ,rev               ,6
@                  ,@   ,rev.              ,4
@                  ,@   ,revs              ,1
reveal             ,Verb,%                 ,104
@                  ,@   ,reveal            ,27
@                  ,@   ,revealed          ,53
@                  ,@   ,revealing         ,8
@                  ,@   ,reveals           ,16
revelation         ,NoC ,%                 ,14
@                  ,@   ,revelation        ,9
@                  ,@   ,revelations       ,5
revenge            ,NoC ,%                 ,11
@                  ,@   ,revenge           ,11
revenue            ,NoC ,%                 ,53
@                  ,@   ,revenue           ,41
@                  ,@   ,revenues          ,12
reverse            ,Verb,%                 ,23
@                  ,@   ,reverse           ,8
@                  ,@   ,reversed          ,11
@                  ,@   ,reverses          ,1
@                  ,@   ,reversing         ,3
review             ,NoC ,%                 ,89
@                  ,@   ,review            ,79
@                  ,@   ,reviews           ,10
review             ,Verb,%                 ,42
@                  ,@   ,review            ,17
@                  ,@   ,reviewed          ,15
@                  ,@   ,reviewing         ,7
@                  ,@   ,reviews           ,3
revise             ,Verb,%                 ,12
@                  ,@   ,revise            ,4
@                  ,@   ,revised           ,6
@                  ,@   ,revises           ,0
@                  ,@   ,revising          ,2
revision           ,NoC ,%                 ,14
@                  ,@   ,revision          ,11
@                  ,@   ,revisions         ,2
revival            ,NoC ,%                 ,12
@                  ,@   ,revival           ,12
@                  ,@   ,revivals          ,0
revive             ,Verb,%                 ,14
@                  ,@   ,revive            ,5
@                  ,@   ,revived           ,6
@                  ,@   ,revives           ,0
@                  ,@   ,reviving          ,2
revolution         ,NoC ,%                 ,49
@                  ,@   ,revolution        ,47
@                  ,@   ,revolutions       ,3
revolutionary      ,Adj ,:                 ,24
reward             ,NoC ,%                 ,28
@                  ,@   ,reward            ,17
@                  ,@   ,rewards           ,11
reward             ,Verb,%                 ,15
@                  ,@   ,reward            ,3
@                  ,@   ,rewarded          ,9
@                  ,@   ,rewarding         ,2
@                  ,@   ,rewards           ,0
Reynolds           ,NoP ,:                 ,11
rhythm             ,NoC ,%                 ,21
@                  ,@   ,rhythm            ,15
@                  ,@   ,rhythms           ,6
rib                ,NoC ,%                 ,12
@                  ,@   ,rib               ,5
@                  ,@   ,ribs              ,7
ribbon             ,NoC ,%                 ,10
@                  ,@   ,ribbon            ,7
@                  ,@   ,ribbons           ,3
rice               ,NoC ,%                 ,16
@                  ,@   ,rice              ,16
rich               ,Adj ,%                 ,79
@                  ,@   ,rich              ,67
@                  ,@   ,richer            ,7
@                  ,@   ,richest           ,5
Richard            ,NoP ,:                 ,100
Richards           ,NoP ,:                 ,11
Richardson         ,NoP ,%                 ,10
@                  ,@   ,Richardson        ,10
@                  ,@   ,Richardsons       ,0
rid                ,Verb,%                 ,27
@                  ,@   ,rid               ,26
@                  ,@   ,ridding           ,0
ride               ,NoC ,%                 ,20
@                  ,@   ,ride              ,17
@                  ,@   ,rides             ,3
ride               ,Verb,%                 ,52
@                  ,@   ,ridden            ,5
@                  ,@   ,ride              ,17
@                  ,@   ,rides             ,2
@                  ,@   ,riding            ,17
@                  ,@   ,rode              ,11
rider              ,NoC ,%                 ,17
@                  ,@   ,rider             ,9
@                  ,@   ,riders            ,8
ridge              ,NoC ,%                 ,17
@                  ,@   ,ridge             ,13
@                  ,@   ,ridges            ,4
ridiculous         ,Adj ,:                 ,19
rifle              ,NoC ,%                 ,11
@                  ,@   ,rifle             ,7
@                  ,@   ,rifles            ,3
right              ,Adj ,%                 ,354
@                  ,@   ,right             ,354
right              ,Adv ,:                 ,346
right              ,NoC ,%                 ,299
@                  ,@   ,right             ,169
@                  ,@   ,rights            ,130
rightly            ,Adv ,:                 ,15
rigid              ,Adj ,:                 ,14
ring               ,NoC ,%                 ,52
@                  ,@   ,ring              ,40
@                  ,@   ,rings             ,12
ring               ,Verb,%                 ,74
@                  ,@   ,rang              ,27
@                  ,@   ,ring              ,29
@                  ,@   ,ringing           ,9
@                  ,@   ,rings             ,4
@                  ,@   ,rung              ,5
riot               ,NoC ,%                 ,18
